AB,H,2B,3B,HR,BB,HBP,IBB,SB,CS,GIDP,SH,SF,BA,OBP,SLG,OPS,TB,RC,TA,ISO,SECA,RC27
24,4,0,0,1,2,0,0,0,0,0,0,0,0.167,0.231,0.292,0.522,7,1.73538461538,0.45,0.125,0.208333333333,2.34276923077
106,37,9,0,6,3,3,0,0,1,0,0,2,0.349,0.377,0.604,0.981,64,24.5368421053,0.985714285714,0.255,0.27358490566,9.20131578947
108,34,4,1,3,6,0,1,4,0,0,1,1,0.315,0.348,0.454,0.802,49,18.4206896552,0.797297297297,0.139,0.231481481481,6.5441923775
11,0,0,0,0,2,0,0,0,0,0,0,0,0.0,0.154,0.0,0.154,0,0.08,0.181818181818,0.0,0.181818181818,0.196363636364
125,39,11,0,9,11,0,0,0,0,0,0,3,0.312,0.36,0.616,0.976,77,29.2877697842,1.02325581395,0.304,0.392,8.88505375475
94,20,5,0,4,9,0,0,1,0,0,0,0,0.213,0.282,0.394,0.675,37,11.2227184466,0.635135135135,0.181,0.287234042553,4.09477564944
32,8,3,0,0,2,0,0,0,0,0,0,0,0.25,0.294,0.344,0.638,11,3.38823529412,0.541666666667,0.094,0.15625,3.81176470588
64,14,5,0,0,8,0,1,2,0,0,0,0,0.219,0.306,0.297,0.602,19,6.67944444444,0.58,0.078,0.234375,3.6069
49,12,1,0,0,1,0,0,1,0,0,0,0,0.245,0.26,0.265,0.525,13,3.5828,0.405405405405,0.02,0.0612244897959,2.61447567568
54,15,2,0,4,9,0,0,0,0,0,0,2,0.278,0.369,0.537,0.906,29,11.9556923077,0.974358974359,0.259,0.425925925926,7.87326078799
41,8,1,0,2,5,0,0,1,0,0,0,0,0.195,0.283,0.366,0.648,15,4.75347826087,0.636363636364,0.171,0.317073170732,3.88920948617
103,28,5,3,3,5,0,0,0,1,0,3,0,0.272,0.306,0.466,0.772,48,14.6623423423,0.684210526316,0.194,0.233009708738,5.01118029422
52,11,1,0,1,7,0,1,2,0,0,0,1,0.212,0.3,0.288,0.588,15,5.436,0.585365853659,0.076,0.25,3.49457142857
119,30,9,0,2,14,5,4,2,1,0,0,1,0.252,0.353,0.378,0.731,45,17.4250359712,0.722222222222,0.126,0.252100840336,5.17006561784
75,18,4,0,0,8,6,0,1,2,0,0,0,0.24,0.36,0.293,0.653,22,8.81797752809,0.593220338983,0.053,0.146666666667,4.03534564845
11,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
32,8,0,0,0,4,0,0,0,0,0,0,0,0.25,0.333,0.25,0.583,8,3.01333333333,0.5,0.0,0.125,3.39
16,3,0,0,1,3,1,0,0,0,0,0,0,0.188,0.35,0.375,0.725,6,2.464,0.769230769231,0.187,0.375,5.11753846154
93,28,3,0,0,3,2,1,4,0,0,0,1,0.301,0.333,0.333,0.667,31,11.5466666667,0.615384615385,0.032,0.10752688172,4.72363636364
28,8,0,0,0,0,0,0,0,0,0,2,0,0.286,0.286,0.286,0.571,8,2.41066666667,0.4,0.0,0.0,2.95854545455
58,11,4,0,2,3,0,0,0,0,0,1,1,0.19,0.226,0.362,0.588,21,5.07111111111,0.510638297872,0.172,0.224137931034,2.79428571429
88,21,7,3,1,8,1,4,2,1,0,1,0,0.239,0.309,0.42,0.73,37,11.7953061224,0.691176470588,0.181,0.284090909091,4.61555456965
135,41,8,1,5,9,0,2,1,1,0,0,0,0.304,0.347,0.489,0.836,66,23.2545833333,0.789473684211,0.185,0.251851851852,6.60919736842
31,8,1,0,3,0,0,0,0,0,0,1,0,0.258,0.258,0.581,0.839,18,4.63,0.782608695652,0.323,0.322580645161,5.20875
116,31,8,0,3,12,1,0,2,0,0,0,1,0.267,0.338,0.414,0.752,48,17.9181538462,0.741176470588,0.147,0.26724137931,5.62546690519
43,12,0,0,1,4,1,0,2,2,0,1,0,0.279,0.354,0.349,0.703,15,5.46734693878,0.606060606061,0.07,0.162790697674,4.34171668667
124,29,9,2,2,13,1,0,4,0,0,0,1,0.234,0.309,0.387,0.696,48,16.7792805755,0.694736842105,0.153,0.290322580645,4.71917266187
34,6,1,0,2,3,1,0,0,0,0,0,0,0.176,0.263,0.382,0.646,13,3.69473684211,0.607142857143,0.206,0.294117647059,3.56278195489
97,22,2,0,5,9,2,2,0,0,0,0,0,0.227,0.306,0.402,0.708,39,12.6316666667,0.666666666667,0.175,0.268041237113,4.5474
108,20,2,0,5,32,0,2,0,1,0,0,2,0.185,0.366,0.343,0.709,37,16.4636619718,0.76404494382,0.158,0.444444444444,4.88482278285
28,5,3,0,0,3,1,0,1,1,0,0,0,0.179,0.281,0.286,0.567,8,2.39,0.5,0.107,0.214285714286,2.68875
11,1,1,0,0,0,0,0,0,0,0,0,0,0.091,0.091,0.182,0.273,2,0.181818181818,0.2,0.091,0.0909090909091,0.490909090909
92,25,6,0,4,11,1,1,1,1,0,0,1,0.272,0.352,0.467,0.82,43,16.08,0.808823529412,0.195,0.315217391304,6.29217391304
129,31,8,1,5,6,0,0,0,0,0,0,1,0.24,0.272,0.434,0.706,56,15.8011764706,0.632653061224,0.194,0.240310077519,4.30941176471
96,24,2,0,7,18,1,5,0,2,0,0,0,0.25,0.374,0.49,0.863,47,18.0542608696,0.864864864865,0.24,0.40625,6.58736545241
118,30,8,0,4,8,0,0,2,0,0,0,1,0.254,0.299,0.424,0.723,50,16.0497637795,0.681818181818,0.17,0.254237288136,4.8690294612
114,33,8,0,2,7,1,0,0,3,0,0,0,0.289,0.336,0.412,0.748,47,15.2872131148,0.619047619048,0.123,0.157894736842,4.9137470726
125,30,8,1,2,10,0,0,6,0,0,1,1,0.24,0.294,0.368,0.662,46,15.404379562,0.652631578947,0.128,0.256,4.2878169915
58,7,2,0,2,2,0,0,0,0,0,0,0,0.121,0.15,0.259,0.409,15,2.328,0.333333333333,0.138,0.172413793103,1.23247058824
95,22,4,0,4,17,1,2,1,2,0,0,3,0.232,0.345,0.4,0.745,38,14.4924137931,0.733333333333,0.168,0.336842105263,5.01660477454
42,9,2,0,0,3,0,1,0,2,0,0,0,0.214,0.267,0.262,0.529,11,2.56,0.342857142857,0.048,0.0714285714286,1.97485714286
112,30,8,0,2,4,1,1,1,0,0,0,0,0.268,0.299,0.393,0.692,44,13.6290598291,0.609756097561,0.125,0.169642857143,4.48761726079
39,5,1,0,0,1,3,0,0,0,0,0,0,0.128,0.209,0.154,0.363,6,1.47348837209,0.294117647059,0.026,0.0512820512821,1.17012311902
28,8,2,0,0,4,0,2,1,0,0,0,1,0.286,0.364,0.357,0.721,10,4.20363636364,0.75,0.071,0.25,5.40467532468
70,13,5,1,1,1,2,0,0,0,0,0,0,0.186,0.219,0.329,0.548,23,5.21205479452,0.456140350877,0.143,0.157142857143,2.46886806056
69,20,2,0,0,2,2,0,1,0,0,0,0,0.29,0.329,0.319,0.648,22,7.74575342466,0.551020408163,0.029,0.0724637681159,4.26806821359
77,23,6,2,1,8,0,0,5,0,0,4,0,0.299,0.365,0.468,0.832,36,14.8939325843,0.907407407407,0.169,0.337662337662,6.93338240992
103,26,11,0,7,13,0,0,0,1,0,0,1,0.252,0.333,0.563,0.896,58,20.1042735043,0.897435897436,0.311,0.427184466019,6.87108081792
18,4,0,0,0,2,1,0,2,0,0,0,1,0.222,0.318,0.222,0.54,4,2.01727272727,0.642857142857,0.0,0.222222222222,3.63109090909
123,25,5,0,4,8,1,0,1,0,0,0,0,0.203,0.258,0.341,0.599,42,11.5548484848,0.530612244898,0.138,0.211382113821,3.18347866419
116,33,7,0,6,23,0,1,1,0,0,0,0,0.284,0.403,0.5,0.903,58,25.8808633094,0.987951807229,0.216,0.422413793103,8.4190760163
38,8,3,1,1,4,0,0,1,0,0,0,0,0.211,0.286,0.421,0.707,16,5.01714285714,0.7,0.21,0.342105263158,4.51542857143
92,28,5,2,2,6,0,0,0,1,0,0,2,0.304,0.34,0.467,0.807,43,15.048,0.738461538462,0.163,0.217391304348,6.06411940299
71,20,2,0,1,3,1,0,1,1,0,1,0,0.282,0.32,0.352,0.672,25,8.19526315789,0.557692307692,0.07,0.112676056338,4.17494538232
